汉语原文	人工翻译结果
我们所经历的时间是一系列从未来到现在再到过去的事件。	ང་ཚོས་བརྒྱུད་པའི་དུས་ཚོད་ནི་མ་འོངས་པ་ནས་ད་བར། ཡང་སྔོན་ཆད་དུ་སོང་བའི་དོན་རྐྱེན་དེ་རེད།
然后该理论确立了这样一种观点：毛利人从波利尼西亚乘“大船”迁移，并从莫里奥里人手中夺取了新西兰，建立了一个农业社会。	དེ་རྗེས་རིགས་པའི་གཞུང་ལུགས་དེས་ལྟ་བ་འདི་འདྲ་ཞིག་གཏན་འཁེལ་བྱས་ཡོད་དེ། མོ་ལི་མི་ཡིས་མོ་ལི་ཉི་ཞི་ཡ་ནས་“གྲུ་གཟིངས་”ལ་བསྡད་དེ་གནས་སྤོས་པ་མ་ཟད། མོ་ལི་ཨའོ་མིའི་ལག་ནས་ནེའུ་ཙི་ལན་འཕྲོག་ལེན་བྱས་ཏེ་ཞིང་ལས་ཀྱི་སྤྱི་ཚོགས་ཤིག་བཙུགས་པ་རེད།
但有新的证据表明，莫里奥里人属于大陆毛利人族群，他们从新西兰移居到查塔姆群岛，发展出了自己独特的崇尚和平的文化。	འོན་ཀྱང་དཔང་རྟགས་གསར་པ་ཡོད་པ་ལས་མོ་ལི་ཨའོ་ཡི་ནང་མི་ནི་སྐམ་སའི་མའོ་ལི་མིའི་རིགས་ཀྱི་ཁོངས་སུ་གཏོགས་པ་དང་ཁོང་ཚོས་ནེའུ་ཙི་ལན་ནས་ཁྲ་ཐ་མུའུ་གླིང་ཚོམ་དུ་གནས་སྤོ་བྱས་ཏེ་རང་ཉིད་ཀྱི་ཐུན་མོང་མ་ཡིན་པའི་ཞི་བདེ་ལ་བརྩི་མཐོང་བྱེད་པའི་རིག་གནས་འཕེལ་རྒྱས་བཏང་བ་མཚོན་གྱི་ཡོད།
虽然理解历史并不意味着理解文化，但至少可以帮助人们了解自己在组织历史中的位置。	ལོ་རྒྱུས་ལ་གོ་བ་ལེན་རྒྱུ་དེ་རིག་གནས་ལ་གོ་བ་ལེན་རྒྱུ་མཚོན་གྱི་མེད་མོད། འོན་ཀྱང་ཉུང་མཐར་ཡང་མི་རྣམས་ཀྱིས་རང་ཉིད་ཀྱི་རྩ་འཛུགས་ལོ་རྒྱུས་ཁྲོད་ཀྱི་གནས་བབ་རྟོགས་རྒྱུར་རོགས་རམ་བྱེད་ཐུབ་ཅེས་བཤད་པ་རེད།
他们自称莫里奥里人。发生过一些小冲突，最后莫里奥里人被消灭了	ཁོ་ཚོས་རང་ཉིད་མོ་ལི་ཨོ་ལེའི་མི་ཡིན་ཟེར། འགལ་བ་ཆུང་ཆུང་འགའ་བྱུང་མྱོང་། མཇུག་མཐར་མོ་ལེ་ཨོ་ལེའི་མི་རྩ་མེད་དུ་བཏང་།
在这种情况下，回顾之前的创业行为和取得的成功可以帮助人们对当地教会的新变化和新方向保持开放的态度。	གནས་ཚུལ་དེ་འདྲའི་འོག་ཕྱིར་དྲན་མ་བྱས་གོང་གི་བྱ་གཞག་གསར་གཏོད་ཀྱི་བྱ་སྤྱོད་དང་ཐོབ་པའི་གྲུབ་འབྲས་ཀྱིས་མི་རྣམས་ཀྱིས་ས་གནས་དེ་གའི་ཆོས་ཚོགས་ཀྱི་འགྱུར་ལྡོག་གསར་པ་དང་ཁ་ཕྱོགས་གསར་པར་སྒོ་དབྱེའི་རྣམ་འགྱུར་འཛིན་རྒྱུར་རོགས་རམ་བྱེད་ཐུབ།
在总结成功和失败时，个人和所有参与者会对组织的价值观、使命和驱动力有更深刻的认识。	གྲུབ་འབྲས་ཐོབ་པ་དང་ཕམ་ཁ་བྱུང་བར་ཕྱོགས་སྡོམ་བྱེད་སྐབས་མི་སྒེར་དང་དེའི་ནང་ཞུགས་མཁན་ཚང་མས་རྩ་འཛུགས་ཀྱི་རིན་ཐང་ལྟ་བ་དང་། འགན་འཁྲི། སྒུལ་ཤུགས་བཅས་ལ་ངོས་འཛིན་དེ་བས་གཏིང་ཟབ་བྱེད་ཀྱི་ཡོད།
参与了几十年的人士帮助我们认识到自己的长处和热情所在，同时坦诚地评估困难，甚至是失败。	ལོ་བཅུ་ཕྲག་ཁ་ཤས་ནང་ཞུགས་མཁན་མི་སྣས་ང་ཚོར་རང་ཉིད་ཀྱི་ལེགས་ཆ་དང་སྤྲོ་སེམས་ངོས་འཛིན་བྱེད་རོགས་བྱས་པ་དང་ཆབས་ཅིག་ལྷག་བསམ་ཟོལ་མེད་ཀྱི་སྒོ་ནས་དཀའ་ངལ་ལ་ཚོད་སྐོར་བྱས་པ་དང་ཐ་ན་ཕམ་ཁར་ཕྱིན་ཡོད།
这样的成功故事让人们对变化的恐惧感减轻了，同时为未来的变革营造出正面的倾向。	འདི་ལྟ་བུའི་རྒྱལ་ཁའི་གཏམ་རྒྱུད་ཀྱིས་མི་རྣམས་ལ་འགྱུར་ལྡོག་གི་འཇིགས་སྣང་ཇེ་ཆུང་དུ་བཏང་བ་དང་དུས་མཚུངས་སུ་མ་འོངས་པའི་འཕོ་འགྱུར་ལ་དྲང་ཕྱོགས་ཀྱི་ཕྱོགས་ལྷུང་བསྐྲུན་པ་རེད།
这种思维模式看重的是速度、逻辑和准确性，还有甄别事实、对现有技术的重新应用和信息收集。	བསམ་གཞིགས་བྱེད་སྟངས་དེ་རིགས་ཀྱིས་མྱུར་ཚད་དང་། གཏན་ཚིགས། ཡང་དག་རང་བཞིན་བཅས་ལ་སྣང་ཆེན་བྱེད་པ་མ་ཟད། ད་དུང་དོན་དངོས་ཤན་འབྱེད་དང་། ད་ཡོད་ལག་རྩལ་བསྐྱར་དུ་སྤྱོད་པ། ཆ་འཕྲིན་བསྡུ་རུབ་བཅས་བྱེད་ཀྱི་ཡོད།
这种思维模式与某些科学或标准程序不无关联。	བསམ་གཞིགས་བྱེད་སྟངས་འདི་ཚན་རིག་གམ་ཚད་ལྡན་གྱི་གོ་རིམ་ཁ་ཤས་དང་འབྲེལ་བ་མེད་པ་མ་རེད།
在十九世纪和二十世纪很长一段时间，人们都认为新西兰的第一批居民是毛利人，他们猎取一种称为恐鸟的大型鸟类。	དུས་རབས་བཅུ་དགུ་པ་དང་དུས་རབས་ཉི་ཤུ་པའི་དུས་ཡུན་ཧ་ཅང་རིང་པོ་ཞིག་གི་ནང་།མི་རྣམས་ཀྱིས་ནེའུ་ཙི་ལན་གྱི་སྡོད་དམངས་ཁག་དང་པོ་ནི་མའོ་ལི་པ་ཡིན་པར་འདོད་ཅིང་།ཁོ་ཚོས་སྐྲག་བྱ་ཟེར་བའི་བྱ་རིགས་ཆེན་པོ་ཞིག་འཛིན།
收敛思维模式是通过结合不同的想法或领域来寻找解决方案的问题解决技巧。	སྐུམ་འཐེན་བསམ་གཞིགས་བྱེད་སྟངས་ནི་བསམ་ཚུལ་དང་ཁྱབ་ཁོངས་མི་འདྲ་བ་དང་ཟུང་འབྲེལ་བྱས་ནས་ཐག་གཅོད་ཇུས་གཞི་འཚོལ་བའི་གནད་དོན་ཐག་གཅོད་ཐབས་ཤེས་ཤིག་རེད།
到目前为止，人类是最善于读懂他人心思的物种。	མིག་སྔའི་བར་དུ་མིའི་རིགས་ནི་མི་གཞན་གྱི་བསམ་ཚུལ་རྟོགས་མཁས་པའི་སྐྱེ་དངོས་རིགས་ཤིག་ཡིན།
这种思维类型的人具有逻辑思维，能够记得住模式、解决问题，还能进行科学测试。	བསམ་གཞིགས་རིགས་འདིའི་མི་ལ་གཏན་ཚིགས་ཀྱི་བསམ་བློ་ལྡན་ལ། དཔེ་དབྱིབས་ཡིད་ལ་བཟུང་ནས་གནད་དོན་ཐག་གཅོད་བྱེད་ཐུབ་པ་མ་ཟད། ད་དུང་ཚན་རིག་དང་མཐུན་པའི་ཚད་ལེན་ཚོད་ལྟ་ཡང་བྱེད་ཐུབ།
在这些能力中，理解他人意图至关重要。我们可以凭借这一能力理解身体行为可能表达出的模棱两可的问题。	ནུས་པ་འདི་དག་གི་ཁྲོད་དུ་མི་གཞན་པའི་འདོད་བློ་ལ་གོ་བ་ལེན་རྒྱུ་ནི་གལ་འགངས་ཤིན་ཏུ་ཆེ་བ་ཞིག་ཡིན།ང་ཚོས་ནུས་པ་འདི་ལ་བརྟེན་ནས་ལུས་པོའི་བྱ་སྤྱོད་ལ་གོ་བ་ལེན་ཐུབ་པའི་གནད་དོན་ལ་གོ་བ་ལེན་ཐུབ་པ་ཡིན།
这意味着我们能够成功地预测其他人的感知、意图、信仰、知识或欲望。	འདིས་ང་ཚོས་མི་གཞན་པའི་ཤེས་ཚོར་དང་འདོད་བློ། དད་མོས། ཤེས་བྱ། འདོད་པ་བཅས་ལེགས་འགྲུབ་ངང་སྔོན་དཔག་བྱེད་ཐུབ་པ་མཚོན།
例如，如果你看到有人打破车窗，你很有可能会认为这个人在偷陌生人的汽车。	དཔེར་ན། གལ་ཏེ་ཁྱོད་ཀྱིས་མི་ཞིག་གིས་རླངས་འཁོར་གྱི་སྒེའུ་ཁུང་བཅག་པ་མཐོང་ཚེ། ཁྱོད་ཀྱིས་མི་འདིས་མི་རྒྱུས་མེད་ཀྱི་རླངས་འཁོར་བརྐུས་པར་འདོད་སྲིད།
如果他是丢了车钥匙，试图打开自己汽车的车门的话，那可能就要另当别论了。	གལ་ཏེ་ཁོས་རླངས་འཁོར་གྱི་ལྡེ་མིག་བོར་སོང་ན།རང་གི་རླངས་འཁོར་གྱི་སྒོ་ཕྱེ་འདོད་ན།དེ་གཞན་ཞིག་ཏུ་བརྩི་དགོས།
1970 年，医学博士兼研究科学家雷蒙德·达马迪安 (Raymond Damadian) 发现了使用磁共振成像作为医学诊断工具的基础原理。	1970ལོར་གསོ་རིག་འབུམ་རམས་པ་དང་ཞིབ་འཇུག་ཚན་རིག་པ་གཅིག་ལྕོགས་ཡིན་པའི་ལེ་མོང་ཏེ·ཏ་མ་ཏི་ཨན (Raymond Damadian) ནས་ཁབ་ལེན་མཉམ་འདར་གྱི་བརྙན་གྲུབ་བཀོལ་སྤྱོད་བྱེད་པ་དེ་གསོ་རིག་བརྟག་དཔྱད་ཡོ་བྱད་ཀྱི་རྨང་གཞིའི་རྩ་བའི་རིག་པ་ཤེས་རྟོགས་བྱུང་བ་རེད།
磁共振成像依据的是一种叫核磁共振 (NMR) 的物理现象，它是费利克斯·布洛赫（在斯坦福大学工作）和爱德华·珀塞耳（来自哈佛大学）于 20 世纪 30 年代发现的。	སྡུད་མཉམ་འདར་བརྙན་བརྙན་གྲུབ་ཀྱི་གཞི་འཛིན་ས་ནི་ཉིང་རྡུལ་ཁབ་ལེན་མཉམ་འདར་(NMR)ཟེར་བའི་དངོས་ལུགས་སྣང་ཚུལ་ཞིག་ཡིན་པ་དང་།དེ་ནི་ཧྥེ་ལི་ཁེ་སི་·པུའུ་ལོ་ཧོ་(སི་ཐན་ཕུའུ་སློབ་ཆེན་དུ་ལས་ཀ་བྱེད་ཀྱི་ཡོད་)དང་ཨའེ་ཏེ་ཧྭ་·པོ་སའེ་ཨེར་(ཧ་ཧྥོ་སློབ་ཆེན་ནས་ཡོང་བ་)ཡིས་དུས་རབས་20པའི་ལོ་རབས་30པར་ཤེས་རྟོགས་བྱུང་བ་ཞིག་རེད།
这种思维模式最重要的因素是：正确答案只有一个。你只需考虑两个答案，即对的或者是错的。	བསམ་གཞིགས་བྱེད་སྟངས་དེ་རིགས་ཀྱི་རྒྱུ་རྐྱེན་གལ་ཆེ་ཤོས་ནི་དྲིས་ལན་ཡང་དག་པ་གཅིག་ལས་མེད་པ་དེ་རེད། ཁྱོད་ཀྱིས་དྲིས་ལན་གཉིས་ལ་བསམ་བློ་བཏང་ན་འགྲིག་པ་དང་ནོར་བ་རེད།
四年后，一项专利获批准，这是世界上首个颁发的核磁共振领域专利。	ལོ་བཞིའི་རྗེས་སུ་ཁེ་བེད་བདག་ཐོབ་ལ་ཆོག་མཆན་ཐོབ་པ་དེ་ནི་འཛམ་གླིང་ཐོག་སྤྲད་པའི་ཉིང་སྡུད་མཉམ་འདར་ཁྱབ་ཁོངས་ཀྱི་ཁེ་བེད་བདག་ཐོབ་ཐོག་མ་དེ་ཡིན་པ་རེད།
在这种共振中，磁场和无线电波导致原子发出微弱的无线电信号。	མཉམ་འགུལ་འདིའི་ཁྲོད་དུ་ཁབ་ལེན་ར་བ་དང་སྐུད་མེད་གློག་རླབས་ཀྱིས་མ་རྡུལ་ལ་ཤུགས་ཞན་པའི་སྐུད་མེད་གློག་གི་བརྡ་རྟགས་གཏོང་བར་བྱེད།
此外，由于可以实行弹性工作时间，时间上的限制也比较少。（布雷默，1998年）	གཞན་ཡང་ལྡེམ་གཤིས་ལྡན་པའི་ལས་ཀ་བྱེད་ཐུབ་པའི་རྐྱེན་གྱིས་དུས་ཚོད་ཐད་ཀྱི་ཚོད་འཛིན་ཡང་ཅུང་ཉུང་བ་ཡིན།(པུའུ་ལེ་མོ།1998ལོ།)
异步通讯让人们有时间思考他人的反应并作出反应。	གོམ་སྟབས་མི་འདྲ་བའི་བརྡ་འཕྲིན་གྱིས་མི་རྣམས་ལ་མི་གཞན་གྱི་ཚུར་སྣང་ལ་བསམ་བློ་གཏོང་བའི་དུས་ཚོད་ཡོད་པ་མ་ཟད་ཚུར་སྣང་བྱེད་དུ་བཅུག
学生也可以在一天中的任何时间把问题提交给老师，并且可以预期得到合理时间内的快速回复，而不用一直等到下一次面谈。	སློབ་མས་ཀྱང་ཉིན་གཅིག་ནང་གི་དུས་ཚོད་གང་རུང་ནང་གནད་དོན་དགེ་རྒན་ལ་སྤྲོད་པ་མ་ཟད།ལུགས་མཐུན་གྱི་དུས་ཚོད་ནང་གི་མགྱོགས་མྱུར་ལན་འདེབས་ཐུབ་པའི་སྔོན་དཔག་བྱེད་ཆོག་པ་ལས་མུ་མཐུད་ངོ་འཕྲད་གླེང་མོལ་བྱེད་མི་དགོས།
学习者可以使用互联网和万维网随时获取信息。	སློབ་སྦྱོང་བྱེད་མཁན་གྱིས་དྲ་སྦྲེལ་དང་ཧྲིལ་བོའི་དྲ་རྒྱ་སྤྱད་དེ་ག་དུས་ཡིན་ཡང་ཆ་འཕྲིན་བསྡུ་ལེན་བྱས་ཆོག
1977 年，达马迪安（Damadian）博士完成了第一台 “全身” 核磁共振扫描仪的制造，他称之为 “不屈号”。	1977ལོར་འབུམ་རམས་པ་ཏ་མ་ཏི་ཨན་（Damadian）གྱིས་“ལུས་ཡོངས་”ཞེས་པའི་ཉིང་རྡུལ་ཁབ་ལེན་མཉམ་འདར་གྱི་བཤར་འབེབས་འཕྲུལ་ཆས་ཐོག་མ་དེ་བཟོས་པ་དེར་ཁོང་གིས“དཔའ་མི་ཞུམ་པའི་ཨང་གྲངས་”ཞེས་བརྗོད་ཀྱི་ཡོད།
这让学生能够按自己的节奏学习，并控制传授教学信息的节奏。	འདིས་སློབ་མར་རང་ཉིད་ཀྱི་འགྲོས་དང་བསྟུན་ནས་སློབ་སྦྱོང་བྱེད་དུ་འཇུག་པ་མ་ཟད།སློབ་ཁྲིད་ཀྱི་ཆ་འཕྲིན་སློབ་ཁྲིད་བྱེད་པའི་འགྲོས་ཚོད་འཛིན་བྱེད་ཐུབ།
我们中有很多人，都发现自己观看的电视节目在告诉我们某种过程或经验，但我们却永远不会参与或应用这些知识。	ང་ཚོའི་ནང་གི་མི་མང་པོ་ཞིག་གིས་རང་ཉིད་ཀྱིས་བལྟས་པའི་བརྙན་འཕྲིན་ལེ་ཚན་དེ་དག་གིས་ང་ཚོར་བརྒྱུད་རིམ་ཞིག་གམ་ཉམས་མྱོང་ཞིག་བཤད་ཀྱི་ཡོད་པ་ཤེས་མོད།འོན་ཀྱང་ང་ཚོས་ཤེས་བྱ་དེ་དག་ནང་ནམ་ཡང་ཞུགས་མི་སྲིད་པའམ་ཡང་ན་བེད་སྤྱོད་བྱེད་ཀྱི་མེད།
查塔姆群岛上还有另一个部落，他们是从新西兰移民过来的毛利人。	ཁྲ་ཐ་མུའུ་གླིང་ཚོམ་དུ་ད་དུང་ཚོ་བ་གཞན་ཞིག་ཡོད།   ཁོ་ཚོ་ནི་ནེའུ་ཙི་ལན་ནས་གནས་སྤོས་ནས་ཡོང་བའི་མའོ་ལེ་མི་ཡིན།
事实上，没有任何事情需要特意学习。在学习者体验到知识呈现的时候，学习的行为就发生了。	དོན་དངོས་ཐོག བྱ་བ་གང་ཡང་ཆེད་དུ་སློབ་སྦྱོང་བྱེད་དགོས་མ་རེད། སློབ་སྦྱོང་བྱེད་མཁན་གྱིས་ཤེས་བྱ་མངོན་པའི་དུས་སུ་སློབ་སྦྱོང་བྱེད་པའི་བྱ་སྤྱོད་བྱུང་བ་རེད།
后现代主义学习方法给人带来绝对的自由。并没有一种学习方法是好的学习方法。	དེང་རབས་རིང་ལུགས་ཕྱི་མའི་སློབ་སྦྱོང་བྱེད་ཐབས་ཀྱིས་མི་ལ་བལྟོས་མེད་ཀྱི་རང་དབང་ཁྱེར་ཡོང་། སློབ་སྦྱོང་བྱེད་ཐབས་བཟང་པོ་ཞིག་གཏན་ནས་མེད།
多亏有了与欧洲相连的海底光缆和宽带卫星，格陵兰网络连接畅通，93% 的人口接入了互联网。	ཡོ་རོབ་དང་འབྲེལ་བའི་མཚོ་གཏིང་གི་འོད་འཁྲིད་ཚི་སྐུད་དང་དྲ་ཆེན་སྲུང་སྐར་ཡོད་པས་ཀེ་ལིང་ལན་དྲ་རྒྱ་འབྲེལ་མཐུད་ཤར་གཏོང་ཐུབ་པ་དང་མི་འབོར་93%དྲ་སྦྲེལ་འབྲེལ་མཐུད་ཐུབ་ཡོད།
我们永远不会对汽车进行大修，不会在后院建喷泉，不会去秘鲁考察古代遗迹，也不会改造邻居的房子。	ང་ཚོས་ནམ་ཡང་རླངས་འཁོར་ལ་ཉམས་གསོ་ཆེན་པོ་བྱེད་མི་སྲིད་པ་དང་།སྒོ་རའི་ནང་གྱེན་འཕྱུར་ཆུ་མིག་རྒྱག་མི་སྲིད་པ།ཕེ་རུར་གནའ་བོའི་གནའ་ཤུལ་ལ་རྟོག་ཞིབ་བྱེད་མི་སྲིད་ལ་ཁྱིམ་མཚེས་ཀྱི་སྡོད་ཁང་ཡང་སྒྱུར་བཀོད་བྱེད་མི་སྲིད།
尽管你可能会听到格陵兰本地人用这个词，但外国人应该避免使用。	ཁྱེད་རང་གིས་ཕལ་ཆེར་ཀེ་ལེན་ལན་ས་གནས་དེ་གའི་མི་རྣམས་ཀྱི་ཚིག་འདི་གོ་གི་རེད།  ཡིན་ནའང་ཕྱི་རྒྱལ་པ་རྣམས་བེད་སྤྱོད་མི་ཡོང་བ་བྱ་དགོས།
目前我们对所有以 DIY 、展示信息以及以学习为主要内容的电视节目的体验，都说明了这一点。	མིག་སྔར་ང་ཚོས་DIYདང་།འགྲེམས་སྟོན་ཆ་འཕྲིན། དེ་བཞིན་སློབ་སྦྱོང་ནང་དོན་གཙོ་བོར་བྱས་པའི་བརྙན་འཕྲིན་ལེ་ཚན་གྱི་ཉམས་ལེན་བཅས་ཚང་མའི་ཐོག་ནས་དོན་དེ་གསལ་བཤད་བྱས་ཡོད།
在加拿大，格陵兰岛的土著居民称自己为因纽特人，在格陵兰岛则称自己为 Kalaalleq（复数为 Kalaallit），也就是“格陵兰人”的意思。	ཁ་ན་ཏ་རུ་ཀེ་ལིན་ལན་གླིང་ཕྲན་གྱི་ཡུལ་དེ་རང་གི་སྡོད་དམངས་ཀྱིས་རང་ཉིད་ནི་དབྱིན་ཉིའུ་ཐི་མི་ཡིན་ཞེས་འབོད་པ་དང་།ཀེ་ལིན་ལན་གླིང་ཕྲན་དུ་རང་ཉིད་ལ་Kalalleq(བསྐྱར་གྲངས་ནི་Kalallit)ཞེས་འབོད་པ་དེའང་གསལ་པོར་བཤད་ན“ཀེ་ལིན་ལན་མི”ཞེས་པའི་དོན་རེད།
正如上文所提，虽然“爱斯基摩人”这个词在美国仍然可以接受，但北极地区的许多非美籍人士，尤其是对加拿大人来说，他们都认为这个词带有贬义含义。	གོང་དུ་བཤད་པ་ལྟར།"ཨེ་སི་ཅི་མོ་མི་"ཞེས་པའི་མིང་ཚིག་འདི་ཨ་རི་ནས་སྔར་བཞིན་དང་ལེན་བྱེད་ཐུབ། འོན་ཀྱང་བྱང་སྣེ་ས་ཁུལ་གྱི་ཨ་རི་མིན་པའི་མི་སྣ་མང་བོ་ཡོད། ལྷག་པར་དུ་ཁ་ན་ཏའི་མི་ལ་མཚོན་ན། ཁོ་ཚོ་ཚང་མས་མིང་ཚིག་འདི་ལ་དམའ་འབེབས་ཀྱི་ནང་དོན་ཡོད་པར་འདོད།
在格陵兰岛，针对外国人的犯罪和恶意行为总体来说几乎闻所未闻。即使在城镇里，也没有 “犯罪高发区”。	ཀེ་ལིན་ལན་གླིང་ཕྲན་དུ་ཕྱི་རྒྱལ་བས་ཉེས་པ་བསགས་པ་དང་བསམ་ངན་གྱི་བྱ་སྤྱོད་ལ་སྤྱིའི་ཆ་ནས་བཤད་ན་ཕལ་ཆེར་གོ་མ་མྱོང་བ་ཞིག་རེད།གྲོང་ཁྱེར་དང་གྲོང་བརྡལ་དུའང་“ཉེས་གསོག་མང་བའི་ས་ཁུལ་”མེད།
严寒也许是没有准备的人将面临的唯一真正的危险。	གྲང་ངར་ནི་གྲ་སྒྲིག་མེད་པའི་མི་ལ་འཕྲད་པའི་ཉེན་ཁ་གཅིག་པུ་དེ་ཡིན་སྲིད།
你的酒店或房东（如果住在民宿或私人民宅）可能配有 wifi 或可联网的电脑。所有安置点都有一家网吧或有公共 wifi 的地方。	རང་གི་མགྲོན་ཁང་ངམ་ཡང་ན་ཁང་བདག་(གལ་ཏེ་དམངས་ལུགས་སྡོད་ཁང་དུ་སྡོད་པའམ་ཡང་ན་མི་སྒེར་གྱི་སྡོད་ཁང་)wifiཡང་ན་དྲ་སྦྲེལ་ཐུབ་པའི་གློག་ཀླད་བཀོད་སྒྲིག་བྱས་ཡོད་སྲིད་། བཀོད་སྒྲིག་བྱེད་ས་ཚང་མར་དྲ་ཁང་ཞིག་དང་ཡང་ན་སྤྱི་པའི་wifiཡོད་པའི་ས་གནས་ཤིག་ཡོད།
在听取别人分享他们个人、家庭和组织的故事时，我们对过去以及一些对组织文化有或好或坏影响的人物有了宝贵的认识。	མི་གཞན་གྱིས་ཁོང་ཚོ་མི་སྒེར་དང་།ཁྱིམ་ཚང་།རྩ་འཛུགས་བཅས་ལ་ལོངས་སུ་སྤྱོད་པའི་གཏམ་རྒྱུད་ཉན་སྐབས་ང་ཚོས་སྔོན་ཆད་དང་དེ་བཞིན་རྩ་འཛུགས་ཀྱི་རིག་གནས་ལ་ཤུགས་རྐྱེན་བཟང་པོ་དང་ཡང་ན་ཤུགས་རྐྱེན་ངན་པ་ཐེབས་པའི་མི་སྣ་ཁ་ཤས་ལ་རྩ་ཆེའི་ངོས་འཛིན་བྱེད་ཀྱི་ཡོད།
夏季漫长的白昼会导致睡眠不足和相关健康问题。	དབྱར་དུས་ཀྱི་དུས་ཡུན་རིང་བའི་ཉིན་མོར་གཉིད་མི་འདང་བ་དང་འབྲེལ་ཡོད་ཀྱི་བདེ་ཐང་གི་གནད་དོན་འབྱུང་སྲིད།
在夏季，也要注意北欧的蚊子。虽然这些蚊子不会传播任何疾病，但它们可能会让人感到不适。	དབྱར་དུས་སུའང་ཡོ་རོབ་བྱང་མའི་དུག་སྦྲང་ལ་དོ་སྣང་བྱེད་དགོས།དུག་སྦྲང་འདི་དག་གིས་ནད་རིགས་གང་རུང་ལ་འགོ་མི་སྲིད་མོད།འོན་ཀྱང་དེ་དག་གིས་མི་ལ་མི་བདེ་བའི་ཚོར་བ་སྟེར་སྲིད།
旧金山的经济与自身是世界级旅游胜地这一点有关，但旧金山的经济却是多元化的。	ཅིའུ་ཅིན་ཧྲན་གྱི་དཔལ་འབྱོར་དང་རང་ངོས་ནི་འཛམ་གླིང་རིམ་པའི་ཡུལ་སྐོར་གནས་མཆོག་ཡིན་པ་དང་འབྲེལ་བ་ཡོད། འོན་ཀྱང་ཅིའུ་ཅིན་ཧྲན་གྱི་དཔལ་འབྱོར་ནི་སྣ་མང་ཅན་ཞིག་རེད།
就业最多的部门包括专业服务业、政府、金融、贸易和旅游业。	ལས་ཞུགས་བྱེད་མང་ཤོས་ཀྱི་སྡེ་ཚན་ནང་ཆེད་ལས་ཞབས་ཞུའི་ལས་རིགས་དང་། སྲིད་གཞུང་། དངུལ་རྩ། ཉོ་ཚོང་། ཡུལ་སྐོར་ལས་རིགས་བཅས་ཚུད་ཡོད།
它经常出现在音乐、电影、文学和流行文化中，使得这座城市及其地标闻名于世。	དེ་རྒྱུན་པར་གླུ་དབྱངས་དང་གློག་བརྙན། རྩོམ་རིག་དང་དར་ཁྱབ་ཆེ་བའི་རིག་གནས་ཁྲོད་དུ་འབྱུང་བཞིན་ཡོད། དེས་གྲོང་ཁྱེར་འདི་དང་དེའི་མཚོན་བྱེད་རང་བཞིན་གྱི་ས་གནས་འཛམ་གླིང་དུ་གྲགས་པ་རེད།
如果你在寒冷的季节到访格陵兰岛（记住越往北走越冷），一定要带够保暖衣物。	གལ་ཏེ་ཁྱོད་ཀྱིས་གྲང་ངར་ཆེ་བའི་དུས་ཚིགས་སུ་ཀེ་ལིན་ལན་གླིང་ཕྲན་དུ་བཅར་འདྲི་བྱས་ན།(བྱང་ཕྱོགས་སུ་ཇི་ལྟར་སོང་ན་དེ་ལྟར་གྲང་བ་ཡིད་ལ་བཟུང་།)ངེས་པར་དུ་དྲོད་སྲུང་གྱོན་ཆས་འདང་ངེས་ཤིག་འཁྱེར་དགོས།
旧金山也是在美国品尝韩国菜、泰国菜、印度菜和日本菜等其他亚洲菜的好去处。	ཅིའུ་ཅིན་ཧྲན་ཡང་ཨ་རི་ནས་ཁོ་རེ་ཡའི་ཚོད་མ་དང་ཐེ་ལན་གྱི་ཚོད་མ།ཧིན་རྡུའི་ཚོད་མ།འཇར་པན་གྱི་ཚོད་མ་སོགས་ཡ་གླིང་གི་ཚོད་མ་གཞན་པའི་བྲོ་བ་མྱོང་ས་བཟང་བོ་ཞིག་ཡིན།
对许多美国家庭来说，去迪斯尼乐园游玩是一场盛大的活动。	ཨ་རིའི་ཁྱིམ་ཚང་མང་པོའི་ངོས་ནས་བཤད་ན།ཏི་སི་ཉི་སྤྲོ་སྐྱིད་གླིང་ལ་རྩེད་མོ་རྩེད་པར་འགྲོ་བ་ནི་བྱེད་སྒོ་གཟབ་རྒྱས་ཤིག་རེད།
这一“典型”的游玩过程包括飞往奥兰多国际机场，乘车前往迪士尼园区酒店，在迪士尼游玩大约一周的时间，然后回家。	"དཔེ་མཚོན"་ཅན་གྱི་ཡུལ་སྐོར་བརྒྱུད་རིམ་འདི་ལ་ཨོ་ལན་ཏོ་རྒྱལ་སྤྱིའི་གནམ་གྲུ་ཐང་ལ་འཕུར་བ་དང་།རླངས་འཁོར་ལ་བསྡད་ནས་ཏི་ཧྲི་ནེ་གླིང་ཁུལ་གྱི་མགྲོན་ཁང་དུ་སོང་།ཏི་ཧྲི་ནེ་ནས་ཕལ་ཆེར་གཟའ་འཁོར་གཅིག་གི་དུས་ཚོད་ལ་རྩེ་རྗེས་ཡུལ་ལ་ལོག
迪士尼的玩法有无数种，但对大多数人来说，“去迪士尼乐园”就是这个意思。	ཏི་ཧྲི་ཉིའི་རྩེད་ཆས་ལ་རིགས་གྲངས་ལས་འདས་པ་ཡོད་མོད།འོན་ཀྱང་མི་མང་ཆེ་བའི་ངོས་ནས་བརྗོད་ན།“ཏི་ཧྲེ་ཉི་རོལ་རྩེད་གླིང་དུ་འགྲོ”ཞེས་པ་དེ་ནི་དོན་དེ་རེད།
